Timestamp,Class,Confidence,BBox
2025-12-09 18:09:38.314248,lever_handle_valve,0.60,"[850.9879760742188, 243.2664031982422, 1006.5076293945312, 577.2164916992188]"
2025-12-09 18:09:38.795346,lever_handle_valve,0.42,"[379.64874267578125, 443.15118408203125, 500.9310607910156, 487.59088134765625]"
2025-12-09 18:09:39.278855,lever_handle_valve,0.25,"[331.4728088378906, 437.59002685546875, 471.16357421875, 475.423828125]"
2025-12-09 18:09:39.759894,lever_handle_valve,0.63,"[346.2644958496094, 438.54278564453125, 478.4678649902344, 475.1692810058594]"
2025-12-09 18:09:44.101252,lever_handle_valve,0.27,"[412.40899658203125, 451.9275817871094, 536.2828979492188, 481.334716796875]"
2025-12-09 18:09:46.988353,lever_handle_valve,0.47,"[592.8963012695312, 375.8213806152344, 690.1681518554688, 560.3856811523438]"
2025-12-09 18:09:48.469156,wheel_handle_valve,0.30,"[296.3418884277344, 307.0820007324219, 419.9601135253906, 481.97344970703125]"
2025-12-09 18:09:50.399534,wheel_handle_valve,0.48,"[862.4412231445312, 329.9679260253906, 1016.716796875, 456.24462890625]"
2025-12-09 18:10:03.413692,wheel_handle_valve,0.38,"[868.23828125, 330.4142150878906, 1043.7200927734375, 471.2444763183594]"
2025-12-09 18:10:21.287473,wheel_handle_valve,0.66,"[289.5322265625, 238.4083709716797, 426.7027893066406, 513.0433349609375]"
2025-12-09 18:10:24.216630,wheel_handle_valve,0.46,"[895.0031127929688, 369.48773193359375, 1018.7479248046875, 507.9930114746094]"
2025-12-09 18:10:28.070162,lever_handle_valve,0.29,"[201.76100158691406, 211.9181365966797, 572.956787109375, 607.05908203125]"
2025-12-09 18:10:51.282948,lever_handle_valve,0.52,"[381.54888916015625, 434.52203369140625, 512.1983642578125, 464.5249938964844]"
2025-12-09 18:10:55.138396,wheel_handle_valve,0.59,"[866.7547607421875, 337.41571044921875, 1008.6350708007812, 487.1640625]"
2025-12-09 18:10:56.132799,wheel_handle_valve,0.35,"[873.7403564453125, 329.0577697753906, 1003.61376953125, 459.24627685546875]"
2025-12-09 18:10:59.392594,wheel_handle_valve,0.27,"[197.1116180419922, 236.6423797607422, 485.12554931640625, 710.7396240234375]"
2025-12-09 18:10:59.947679,wheel_handle_valve,0.68,"[411.148193359375, 320.3824157714844, 533.1770629882812, 491.0481872558594]"
2025-12-09 18:11:00.444385,wheel_handle_valve,0.25,"[396.9398498535156, 319.5351257324219, 553.0311279296875, 508.5765075683594]"
2025-12-09 18:11:06.917209,lever_handle_valve,0.40,"[824.4193115234375, 362.04852294921875, 1176.800048828125, 606.493896484375]"
2025-12-09 18:11:07.415714,lever_handle_valve,0.32,"[842.5226440429688, 363.4509582519531, 1174.4012451171875, 628.58642578125]"
2025-12-09 18:11:07.894474,lever_handle_valve,0.26,"[845.4154052734375, 359.4917907714844, 1172.8671875, 631.5430908203125]"
2025-12-09 18:11:10.856941,lever_handle_valve,0.28,"[847.4011840820312, 357.27105712890625, 1139.614501953125, 625.1310424804688]"
2025-12-09 18:11:11.435978,lever_handle_valve,0.67,"[846.9537353515625, 325.09222412109375, 1087.355224609375, 563.396484375]"
2025-12-09 18:11:15.075450,wheel_handle_valve,0.25,"[465.78558349609375, 298.49432373046875, 617.1771240234375, 459.5201721191406]"
2025-12-09 18:11:26.720918,wheel_handle_valve,0.40,"[800.0101928710938, 361.88629150390625, 1003.8621826171875, 692.3966674804688]"
2025-12-09 18:11:30.575329,wheel_handle_valve,0.55,"[236.25894165039062, 236.37588500976562, 593.0030517578125, 587.5385131835938]"
2025-12-09 18:11:34.949271,wheel_handle_valve,0.34,"[244.2151641845703, 235.130859375, 557.6873168945312, 581.1941528320312]"
2025-12-09 18:11:35.431327,wheel_handle_valve,0.29,"[658.5931396484375, 178.32852172851562, 797.62548828125, 641.3424072265625]"
2025-12-09 18:11:44.624024,lever_handle_valve,0.32,"[175.2146759033203, 87.09574890136719, 539.9569702148438, 408.71722412109375]"
2025-12-09 18:12:06.840040,wheel_handle_valve,0.26,"[312.0535583496094, 284.9764404296875, 493.595458984375, 462.8868103027344]"
